Category,Name,Followers,Views,UserName,Gender,Gender_Perchantage
"Comedy, Vlog, ",Bene,2.7M,1.6M,@bene.schulz,Female,80%
"Dance, Makeup, +1",Sue Rose,2.7M,821.7K,@suexjosh,Female,83%
"Drama, Comedy, Vlog",KarenCassssss,1.4M,1.4M,@karencassssss,Female,81%
"Dance, Comedy, Vlog",Chase Rutherford,2.5M,2.4M,@chaserutherford,Female,86%
"Comedy, Education, Vlog",jjjmc12,582.5K,6.8M,@jjjmc12,Female,59%
"Comedy, Family & Parenting, ",Corey B,6.9M,2.4M,@thecoreyb,Female,71%
"Comedy, Vlog, ",Sam Van Fossen,780.8K,300K,@samvanfossen,Female,55%
"Special Effects, Comedy, Vlog",jerezalto,803.2K,1.7M,@jerezalto0,Female,54%
"Dance, Makeup, +2",The Plastique Tiara,7M,2M,@plastique_tiara,Female,77%
"Comedy, Animation & Cartoon, ",Sam Cotton,1.6M,3.1M,@mrsamcotton,Female,53%
"Dance, Comedy, ",Trunks,5.3M,458.5K,@theblacktrunks,Female,62%
"Vlog, Education, Technology",UFD Tech,127.1K,25.5K,@ufdtech,Male,58%
"Comedy, Vlog, ",Basi,3.7M,1.7M,@basii_17,Female,56%
"Dance, , ",biancascaglione,490.4K,844.7K,@biancascaglione,Female,93%
"Drama, Comedy, Vlog",tyler funke :D,2.2M,395.7K,@tylerfunke,Female,80%
"Comedy, Vlog, ",Jacksepticeye,1.8M,1.5M,@jacksepticeye,Female,54%
"Comedy, Education, Vlog",🦄,707.4K,466.7K,@awiliban,Female,91%
"Dance, Comedy, Vlog",Drea Knowsbest,5.4M,448.1K,@dreaknowsbest,Female,82%
"Technology, , ",KFergy,257.4K,110.8K,@kfergytech,Male,62%
"Comedy, Vlog, ",Chase,1.9M,1.5M,@chasedelrosario,Male,50%
"Vlog, Comedy, Education",Dersim 🐉,1.6M,1.6M,@dersiimx,Female,90%
"Comedy, Vlog, ",ben de almeida,8M,2.9M,@benoftheweek,Female,77%
"Travel, Comedy, Vlog",Simon Wilson,420.2K,1.8M,@simonjwils,Male,63%
"Travel, Comedy, Vlog",Jacob,2.1M,592.7K,@jacob_rtt,Female,85%
"Dance, Vlog, ",Devin Caherly,3.5M,1.9M,@devincaherly,Female,79%
"Comedy, Vlog, Accessories",clemdetrem,610.5K,332.3K,@clemdetrem,Female,62%
"Comedy, Vlog, ",Nickolas,3.6M,2.2M,@nickolas_ray,Female,78%
"Comedy, Vlog, +1",Danny Casale,2.6M,1.3M,@coolman_coffeedan,Female,73%
"Hair, Comedy, Vlog",FYTWITCH,659.8K,667.2K,@fytwitch,Female,72%
"Comedy, Vlog, ",にっしー,2M,2.4M,@yoshi30244781481,Female,53%
"Comedy, Vlog, ",Mark Ryan,2.2M,2.2M,@markryan92,Female,67%
"Comedy, , ",Andrew Valentine,152.1K,5.9K,@imandrewvalentine,Female,60%
"Comedy, Celebrity Account, ",Brando,2.5M,4.4M,@brando,Female,57%
"Dance, Family & Parenting, Vlog",jeromecopeland99,8.6M,1.4M,@itsromebaby,Female,79%
"School Life, Comedy, ",Jason Davenport,2.2M,993.5K,@itsjasondavenport,Female,51%
"Comedy, Vlog, ",Munera,6.3M,933.9K,@iconiccpinkk,Female,80%
"Comedy, Vlog, ",sᴀʏ sᴀʏᴏɴᴀʀᴀ,475.8K,816.8K,@saysayonara_,Male,58%
"Dance, Hair, Vlog",Trevor Wagner,2M,398.3K,@trevor_wagner_,Female,84%
"Dance, Vlog, ",Tray,3.7M,1.4M,@schoollunchtray,Female,80%
"Comedy, Professional Life, ",Johnathan Dodson,504.3K,615.2K,@thejohnathandodson,Female,71%
"Dance, Outfit, ",SJ,9M,3.8M,@sjbleau,Female,74%
"Dance, Comedy, Health",The Bentist,10M,2.5M,@thebentist,Female,69%
"Comedy, Vlog, ",FionnTime,1.6M,1.7M,@fionntime,Female,54%
"Comedy, , ",🅱️icycle,2.3M,952.2K,@michaelsoepic,Male,63%
"Drama, Comedy, Vlog",Christine,4.8M,674.3K,@christines_snaps,Female,89%
"Dance, Comedy, ",Tayden,2.9M,1.3M,@saydenseay,Female,82%
"Comedy, , ",Ryan Kelly,3.3M,348.6K,@youthpastorryan,Female,70%
"Comedy, Vlog, ",soj-uwu 🍶,1.7M,291.7K,@jar_oh_me,Female,54%
"Comedy, Vlog, ",Davey,5.1M,8.3M,@daveyrz,Female,64%
"Dance, Accessories, Outfit",usim,3.3M,1.7M,@usimmango,Female,60%
"Dance, Traditional Sports, +2",karebearsk8,522K,157.2K,@karebearsk8,Female,90%
"Love & Dating, Comedy, +1",LGNDFRVR,12.3M,4.7M,@lgndfrvr,Female,72%
"Dance, Hair, Outfit",LARRAY,24.3M,7.3M,@larrayeeee,Female,85%
"Dance, Celebrity Account, Vlog",Noah Schnapp,18.5M,23.4M,@noahschnapp,Female,86%
"Comedy, Animation & Cartoon, ",Nutshell,11.2M,1.2M,@nutshellanimations,Male,51%
"Comedy, Celebrity Account, Vlog",PARTY SHIRT,19.8M,963.4K,@partyshirt,Female,57%
"Comedy, Vlog, ",GingerBilly1,4.5M,3.7M,@gingerbilly1,Female,51%
"Comedy, , ",B. Dylan Hollis,4.6M,6.3M,@bdylanhollis,Female,66%
"Dance, Makeup, Outfit",Tierra,971.3K,76.3K,@tiierralisaan,Female,87%
"Dance, Makeup, Outfit",Em,2.5M,1.3M,@reallyemely,Female,55%
"Dance, Celebrity Account, Vlog",Lele Pons,23.9M,7.7M,@lelepons,Female,73%
"Tutorials, Technology, Vlog",TechPron,171.1K,362.7K,@techpron,Male,66%
"Family & Parenting, Comedy, Vlog",The Furrha Family,4.9M,2.2M,@thefurrhafamily,Female,68%
"Dance, Celebrity Account, Vlog",garrett_clayton,3.4M,660.9K,@garrettclayton91,Female,85%
"Comedy, Vlog, ",Jiaoying Summers (Funny Mom),943.9K,63.2K,@jiaoyingsummers,Female,68%
"Dance, , ",Positive Vibes 😁✌🏼,144.8K,283K,@yourboi.jay,Female,74%
"Comedy, Cosplay, +1",Jeff :),1.3M,278.4K,@jeffery_zang,Female,60%
"Comedy, Vlog, ",BashTheEntertainer,5.2M,1.4M,@bashtheentertainer,Male,55%
"Comedy, Nail Art & Care, Vlog",Jayy Duran,1.5M,969.2K,@jayyduran,Female,90%
"Love & Dating, Comedy, Vlog",Grace Hunter 👸🏽✨,2.6M,529.7K,@graceandzay,Female,73%
"Dance, Vlog, ",Queenay👸🏻,7.5M,604.5K,@queeneemercado,Female,56%
"Comedy, Family & Parenting, ",TheClassiiics,370.1K,444.8K,@theclassiiics,Female,69%
"Comedy, , ",Killa Kay,2M,793.1K,@thekillakay_,Male,55%
"Comedy, Vlog, ",Joe,1.4M,1.1M,@joeando,Female,76%
"Comedy, Vlog, ",Saint JMC🖤💫,2.7M,256.8K,@saint.jmc,Male,52%
"Drama, Comedy, Vlog",acie,2M,495K,@lilaciewiln,Female,51%
"Comedy, , ",Big-Reg,1.9M,1.8M,@reggiefisher15,Female,55%
"Dance, Comedy, Outfit",Fredo on TV,879.6K,147.8K,@fredoontv,Male,56%
"Comedy, Vlog, ",Vohr the Sus King,4.5M,1.6M,@vohr,Female,52%
"Dance, Vlog, Cosplay",Duke Depp,18.7M,962K,@willywonkatiktok,Female,77%
"Dance, Drama, ",Surprise Girl🌙,2.5M,2M,@surprise.gal,Female,74%
"Dance, Hair, ",Nando,1.1M,266.7K,@itsreallynando,Female,89%
"Drama, Comedy, +1",Eeka,2.1M,359.7K,@themcleodfam,Female,90%
"Comedy, Vlog, ",Hubert Lee,1.9M,635.7K,@hubertceo,Male,60%
"Dance, Vlog, ",Mr.StealYoGirl,3M,372.2K,@metelus_1,Female,86%
"Pop Culture, Comedy, Vlog",Billy Chaz,332.9K,260.2K,@billy.chaz,Male,62%
"Comedy, Vlog, ",HBB,816.2K,1.1M,@hbbordie,Male,54%
"Comedy, Celebrity Account, Vlog",Isaac,1.5M,1.7M,@manlikeisaac,Male,57%
"Comedy, Vlog, ",corey🥯,2.1M,1.6M,@coreythebagel,Female,84%
"Comedy, Vlog, ",Kai Robinson,2.5M,1.8M,@kai.robinson,Male,59%
"Dance, Makeup, Outfit",Indiana Massara,4.6M,2.6M,@indiana,Female,78%
"Comedy, Vlog, ",Aleq,567.4K,627.9K,@itsalequito,Male,58%
"Education, Comedy, Vlog",Dr.NEVER,2.1M,601.8K,@dr.never,Female,67%
"Dance, Comedy, Vlog",Ｓｔａｙ　ｈｙｄｒａｔｅｄ　緯俺な,10.9M,1.2M,@caleb.finn,Female,83%
"Pop Culture, Drama, Comedy",Movie.Tv🎥,824K,835K,@movie.it,Female,54%
"Dance, Comedy, Vlog",YOUNES 🇲🇦,2.2M,695.1K,@thedvrko,Female,57%
"Recipes, Comedy, ",Roscoes Comedy,1.6M,1.3M,@roscoescomedy,Female,62%
"Comedy, Vlog, ",London Lazerson,5.3M,312.8K,@londonlaz,Female,54%
"Comedy, Vlog, +1",Thien Nguyen,755.8K,587.6K,@thieni.boy,Female,51%
"Dance, Love & Dating, Vlog",R,2.7M,3.4M,@ataa_riffa25,Female,72%
"Dance, Vlog, ",Carson Roney,2.6M,1.4M,@carson.roney,Female,73%
"Dance, Makeup, Vlog",Phaith Montoya,1.9M,148K,@phaithmontoya,Female,78%
"Comedy, Vlog, ",It’s a sad story...,1.9M,2.1M,@dailymug69,Female,79%
"Comedy, School Life, Education",Antonio Parlati,3.1M,793.8K,@antonioparlati,Female,71%
"Drama, Comedy, Vlog",Adele_tsdr,3.5M,2.5M,@adele_tsy,Female,74%
"Comedy, Vlog, ",JP,720.5K,429.6K,@herejp,Female,63%
"Comedy, Vlog, ",Xavier Gavin,566.4K,1.1M,@xenoicxavier,Female,51%
"Dance, Vlog, Music",ゆーり🍎🐥(20)yuri,5.4M,580.5K,@0906yu_rin,Female,52%
"Pop Culture, Comedy, Vlog",Sadia,1.2M,2.6M,@sadiafza,Female,76%
"Comedy, Education, Vlog",Elliot Simmons,2.3M,289.6K,@elliotsimms,Female,56%
"Comedy, Vlog, ",HELICOPTER MAN🚁,3.4M,1.2M,@marquaythegoat,Female,69%
"Comedy, Vlog, ",☁Le_Vrai_Andrea☁,969.3K,831.8K,@le_vrai_andrea,Female,55%
"Dance, Vlog, ",Akamz,9.5M,737.5K,@akamztwenty20,Female,50%
"Comedy, Vlog, +1",Darius Covington,821.7K,314.3K,@thedariuscovington,Female,91%
"Dance, Comedy, Vlog",🌻Ruthbell,5.8M,299.8K,@ruthbellpan,Female,70%
"Comedy, , ",Stephanie B,362.6K,335.9K,@stephaniebooty,Female,72%
"Comedy, Vlog, ",Laurenzo 🏳️‍🌈,643.1K,311.4K,@adesso.laurenzo,Female,86%
"Comedy, Vlog, ",Mason Denver,1.5M,1.2M,@masondenverr,Female,82%
"Pop Culture, Comedy, Vlog",FOLLOW MY IG ❤️,2.2M,606.1K,@therealchristuckerjr,Female,61%
"Dance, Vlog, ",Michael English,1.1M,66.9K,@flippinmichaelbro,Female,65%
